Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Table Service,2845.6,55,51.74,27,114.40,22,129.35,77.12
Total,2845.6,55,51.74,27,114.40,22,129.35,77.12
